"last_name, first_name","player_id","year","k_percent","bb_percent","woba","xwoba","xobp","wobacon","xwobacon","avg_swing_speed","squared_up_contact","ideal_angle_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_hyper_speed","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Hiura, Keston",669374,2022,41.7,8.6,".334",".317",".297",".542",".507",,,,"91.7",41.1,15.3,11.3,45.2,"95.913755285",70.3,29,67.6,40.1
"Tellez, Rowdy",642133,2022,20.2,10.4,".327",".349",".337",".372",".404",,,,"91.1",31.4,12.9,7.3,46,"95.690567213",61.1,27,83.3,23.8
"Mateo, Jorge",622761,2022,27.6,5.1,".281",".272",".269",".362",".348",,,,"86.8",35.5,6,5.7,32.7,"93.337279593",72.6,36.6,78.1,31.1
"Knizner, Andrew",668800,2022,21.2,8.9,".275",".280",".305",".293",".300",,,,"86",28.6,3.5,3.5,33.2,"92.856279899",65.4,32.9,85.2,22.7
"Marsh, Brandon",669016,2022,34.3,6.1,".296",".287",".279",".426",".410",,,,"89.2",40.8,7.4,7,38.2,"94.108601774",64.7,31.8,77.8,29.2
"Goldschmidt, Paul",502671,2022,21.7,12.1,".419",".367",".357",".506",".426",,,,"90.8",31.8,11.6,9.9,47.4,"95.440152299",59.8,25.1,78.4,26.8
"Walker, Christian",572233,2022,19.6,10.3,".346",".359",".343",".388",".407",,,,"90",33.3,11.5,6.5,44,"95.00141326",67.9,23.1,84.4,24.6
"Rutschman, Adley",668939,2022,18.3,13.8,".354",".342",".358",".377",".359",,,,"87.9",35.6,7.9,6.7,36.8,"93.60531527",61.1,23.1,88.5,17.9
"Naylor, Josh",647304,2022,16.1,7.6,".331",".327",".323",".364",".358",,,,"89.4",28.9,8.6,6.4,42.8,"94.744173602",72.8,32.9,87.1,19.5
"Azocar, José",640492,2022,20.4,5.6,".278",".272",".285",".324",".317",,,,"88.3",31.3,2.5,5,30.6,"92.782399276",76,38.4,79.9,24.1
"Laureano, Ramón",657656,2022,27.2,6.5,".294",".307",".294",".359",".380",,,,"88.7",28.9,11.6,4.1,38.4,"94.16358876",64.2,28.8,79.7,30.3
"Marte, Starling",516782,2022,19.2,5.1,".355",".336",".332",".412",".386",,,,"86.8",38.5,6.8,7,33.9,"93.595179373",67.5,32.8,82.7,24.3
"Villar, Jonathan",542340,2022,26.8,6.8,".250",".247",".262",".306",".304",,,,"89.6",24.7,2.7,6.2,40.4,"94.551199137",75.1,29.1,70.3,35.1
"Happ, Ian",664023,2022,23.2,9,".339",".306",".315",".408",".359",,,,"89.7",29.2,6.5,6.5,40.4,"94.405566288",71.8,26.6,79.5,27.2
"Díaz, Yandy",650490,2022,10.8,14,".366",".365",".395",".355",".353",,,,"92.2",30.7,4.8,8.9,49,"96.208559878",63.6,19.6,90.4,14.3
"Pasquantino, Vinnie",686469,2022,11.4,11.7,".365",".374",".380",".367",".378",,,,"91.2",34.1,8.8,7.5,46.9,"95.08140192",68,26.5,90.4,15.3
"Soto, Juan",665742,2022,14.5,20.3,".376",".401",".420",".363",".402",,,,"91",28.5,12.4,7.2,47.4,"95.653888852",56.3,17.2,86,19.4
"Riley, Austin",663586,2022,24.2,8.2,".377",".378",".349",".465",".468",,,,"92.5",37.7,15.7,8.4,50.8,"96.785171533",75.3,30.1,81.3,27.6
"Cabrera, Miguel",408234,2022,23.3,6.5,".275",".275",".290",".329",".329",,,,"89.9",35.2,4.7,3.7,38.2,"93.99969786",71.3,31.5,80.6,27
"Gordon, Nick",624503,2022,23.7,4.3,".321",".333",".308",".397",".413",,,,"90.6",36.6,9.4,8.1,44.7,"94.408223268",78.6,39.2,79.6,28
"Canha, Mark",592192,2022,17.9,8.9,".343",".323",".351",".361",".332",,,,"87.7",32.2,4.9,6.8,36.6,"93.261380654",61,24.3,81.6,22.2
"Grossman, Robbie",543257,2022,27,11.7,".283",".281",".307",".322",".319",,,,"86.7",38.5,3.5,7.7,30.4,"92.129787754",62.9,19.3,83.8,23.9
"Odor, Rougned",596059,2022,23.1,6.8,".278",".277",".279",".319",".318",,,,"87.8",30.5,6.5,5.6,33.3,"93.245734647",72.9,30.9,79.2,27.6
"Engel, Adam",641553,2022,29.2,4.2,".256",".246",".264",".335",".320",,,,"87.9",30.8,1.8,5.3,33.1,"93.376579521",67.7,28.1,75.8,33.8
"Smith, Will",669257,2022,16.6,9.7,".349",".349",".339",".378",".379",,,,"89.9",36.8,10.3,7.2,43,"94.188464255",63.7,21.3,83.9,19.3
"Pollock, AJ",572041,2022,18.6,6.1,".297",".317",".305",".337",".364",,,,"88.8",32.9,9.4,5.8,42,"94.34853632",74.1,34,84.8,24.7
"Contreras, Willson",575929,2022,21.1,9.2,".357",".364",".362",".399",".410",,,,"90.4",30.2,10.5,8.3,48.6,"96.034015696",73.1,31.8,78.9,31
"Madrigal, Nick",663611,2022,11.8,6.1,".267",".283",".313",".267",".286",,,,"85.9",26.6,0,1.6,24.6,"91.48588483",59.7,28.5,93.4,10.3
"Gonzalez, Marwin",503556,2022,26.1,6.8,".257",".282",".286",".302",".341",,,,"88",34.1,5.9,5.9,37.3,"93.629768931",63.1,37.6,85.7,23.1
"Hilliard, Sam",656541,2022,28.5,11.5,".251",".303",".312",".283",".370",,,,"92",27.7,9.2,9.2,48.7,"95.872595546",67.5,20.1,71.2,35.1
"Neuse, Sheldon",641914,2022,27.3,6.8,".253",".254",".272",".309",".312",,,,"89.1",23,3.1,2.6,38.2,"93.674738289",70.2,31.4,84,27.2
"Arraez, Luis",650333,2022,7.1,8.3,".350",".333",".350",".345",".326",,,,"88.9",38.7,3.6,5.7,30.2,"92.276757036",63.2,24.1,94,7.1
"Hummel, Cooper",669450,2022,31.8,11.4,".262",".292",".307",".320",".374",,,,"87.6",30.1,7.1,7.1,35.4,"93.823074324",61.7,18.7,81.6,27.5
"Moore, Dylan",664238,2022,29.4,13.3,".338",".322",".350",".407",".378",,,,"87.2",39.4,12.9,7.6,36.4,"93.508799615",59.2,18.8,76.7,27.9
"Machín, Vimael",605353,2022,18.6,9.9,".268",".301",".323",".274",".321",,,,"89.3",36.3,3.9,7.3,39.1,"93.53259419",65.5,26.5,89.2,17.9
"Rengifo, Luis",650859,2022,15.5,3.3,".314",".296",".285",".355",".333",,,,"86.9",31.1,5.4,4.9,33.6,"93.096324743",77.3,34.9,85.8,21.5
"García, Avisaíl",541645,2022,28.7,4.5,".258",".281",".273",".334",".369",,,,"88.7",27.6,6.4,8.8,44.8,"95.003346734",82.1,40.7,78.4,36.7
"Maile, Luke",571912,2022,26.2,9.2,".281",".263",".278",".328",".300",,,,"84.5",33.8,5.4,6.9,25.4,"91.987641385",65,24.3,80.4,27.6
"Castro, Harold",605612,2022,17.8,3.8,".297",".316",".305",".345",".371",,,,"87",41.6,6.1,7.8,33.3,"92.622759201",69.3,39.8,86.4,20
"Pujols, Albert",405395,2022,15.7,8,".380",".365",".343",".415",".395",,,,"91.2",34.5,12,7,47.3,"95.425491822",63.5,34.9,88,21.3
"Rosario, Amed",642708,2022,16.6,3.7,".311",".310",".308",".356",".354",,,,"88.4",31.1,4.5,5.5,38.3,"93.991990529",67,40,84.6,21
"Flores, Wilmer",527038,2022,17.1,9.8,".312",".310",".322",".326",".323",,,,"87.8",35.7,6.3,5.4,35.4,"92.963528089",66.5,26.6,87.6,18.9
"Rodgers, Brendan",663898,2022,17.4,7.9,".321",".326",".330",".354",".361",,,,"90",31.3,7.2,5.6,45.9,"94.882864603",72.1,27.2,84.6,22.7
"Barnhart, Tucker",571466,2022,24,8.1,".253",".244",".269",".289",".276",,,,"84.5",30.3,1.9,2.9,26,"91.655968177",65.7,25.4,84.9,22.5
"Crawford, J.P.",641487,2022,13.3,11.3,".306",".315",".353",".293",".306",,,,"85.1",32.4,2,4.7,29.7,"92.35483867",61.9,20.5,90.4,14.3
"Gregorius, Didi",544369,2022,15.5,5.6,".251",".275",".288",".262",".293",,,,"84.5",33.3,2.8,5,22.8,"91.340268249",81.6,41.1,86.7,24
"Bregman, Alex",608324,2022,11.7,13.3,".358",".350",".369",".348",".337",,,,"88.9",36.2,7.3,9.4,37.8,"93.364139021",65.8,17.8,90.6,14.9
"McMahon, Ryan",641857,2022,26.5,10.1,".326",".330",".329",".400",".407",,,,"91.7",36.4,10.4,6.7,46.5,"95.689199432",63.4,25.4,79.1,28.2
